Time,State Index,Position-Az (Deg),Position-El (Deg),Position-Cl (Deg),Velocity-Az (D/Sec),Velocity-El (D/Sec),Velocity-Cl (D/Sec),Motor-Az (Amps),Motor-El (Amps),Motor-Cl (Amps),Target Error-Az (Deg),Target Error-El (Deg),Target Error-Cl (Deg),Sensor-Y-Tilt El(Deg),Sensor-X-Tilt Cl(Deg),Ref Error-Az (Deg),Ref Error-El (Deg),Ref Error-Cl (Deg),Display AGC,Background AGC,El Joint Angle,Cl Joint Angle,Sensor-Z-Enc Rel (Deg),Sensor-Z-Enc Total (Deg),Receiver Freq,Antenna Latitude (Deg),Antenna Longitude (Deg),Az Tracking Delta (Deg),El Tracking Delta (Deg),Cl Tracking Delta (Deg),Tracking,Targeting,Searching,Block Zone,Appr.Block Zone,Init.Done,Unwrap,At Target,Hw Task Time (mSec),Pass LogTime(mSec),Tracker Update_0(mSec)
2459306.100009,6,99.220619,10.006674,0.006904,-0.048830,-0.207438,-0.020485,-0.447605,0.348251,0.005780,0.044456,-0.005929,0.006915,10.044555,0.097541,0.006367,0.016181,0.005036,727,727,9.956757,0.521066,98.777252,461.425781,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.072000,1.294000,0.219000
2459306.100020,6,99.121391,10.029427,-0.004490,-0.012298,0.098398,0.124956,0.614006,-0.010071,0.084846,-0.054771,0.016824,-0.004479,10.042115,0.248465,0.011665,-0.007284,0.000117,727,727,9.975586,0.521066,98.925537,461.574097,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.353000,1.294000,0.215000
2459306.100032,6,99.226418,10.003759,0.011353,0.014595,-0.233765,0.027617,-0.587802,0.464579,-0.140055,0.050255,-0.008843,0.011364,9.866955,0.107330,0.015517,-0.011147,0.005234,727,727,9.956757,0.527344,98.793709,461.442261,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.638000,1.294000,0.379000
2459306.100044,6,99.124779,10.026177,-0.000766,0.128577,0.235164,0.090481,0.773657,0.072549,0.051158,-0.051384,0.013575,-0.000754,9.981357,0.082519,0.019878,-0.021178,-0.003523,727,727,10.000702,0.521066,98.931175,461.579590,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.070000,1.294000,0.218000
2459306.100055,6,99.234299,10.008080,0.003229,0.058283,-0.206725,-0.054354,-0.531558,0.419741,-0.004838,0.058136,-0.004522,0.003240,9.994263,0.034374,0.019334,-0.004560,-0.000241,727,727,9.950478,0.527344,98.782669,461.431274,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.064000,1.294000,0.215000
2459306.100067,6,99.126793,10.026184,0.000763,-0.075021,0.128398,0.040692,0.648030,-0.081739,0.154536,-0.049370,0.013581,0.000774,10.011218,-0.136197,0.012933,-0.002368,0.000306,727,727,9.931641,0.521066,98.919899,461.568604,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.254000,1.294000,0.214000
2459306.100079,6,99.229500,10.003071,0.013651,-0.028382,-0.233523,0.077999,-0.542719,0.418428,-0.031048,0.053337,-0.009532,0.013663,9.998175,-0.189711,0.000215,0.004471,0.000526,727,727,9.969307,0.521066,98.788330,461.436768,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.739000,1.294000,0.264000
2459306.100090,6,99.140060,10.023535,0.005575,-0.011012,0.133323,-0.130628,0.453389,0.046978,0.041410,-0.036102,0.010932,0.005586,10.047800,-0.247613,-0.006712,-0.009126,-0.010084,727,727,9.944199,0.508510,98.875961,461.524658,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.069000,1.294000,0.216000
2459306.100101,6,99.229866,9.999094,0.025258,0.056313,-0.160539,-0.039481,-0.558913,0.503522,-0.112222,0.053703,-0.013509,0.025269,9.947632,-0.249695,-0.017210,-0.004044,-0.023004,727,727,9.975586,0.508510,98.760834,461.409302,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,1,0,1,0,1,1.078000,1.294000,0.214000
2459306.100113,6,99.131638,10.026741,0.001446,-0.012683,0.236421,-0.127215,0.643371,0.119056,0.017407,-0.044525,0.014138,0.001457,10.046575,-0.241462,-0.021261,-0.007740,-0.031442,727,727,10.025810,0.502232,98.881805,461.530151,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.146000,1.294000,0.219000
2459306.100125,6,99.224770,10.003632,0.009131,-0.086286,0.069831,-0.098373,-0.530972,0.334893,0.013527,0.048607,-0.008971,0.009142,10.063611,-0.134118,-0.020839,-0.006611,-0.021776,728,727,9.944199,0.527344,98.749725,461.398315,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.632000,1.294000,0.216000
2459306.100136,6,99.128769,10.026059,-0.004872,0.061686,0.264558,-0.064114,0.625516,0.072877,0.087861,-0.047394,0.013456,-0.004861,10.061525,0.035500,-0.016403,-0.016769,-0.014955,726,727,9.975586,0.514788,98.870575,461.519165,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.211000,1.294000,0.354000
2459306.100148,6,99.221573,9.999862,-0.000487,-0.060991,-0.220099,-0.005419,-0.530492,0.281391,-0.068828,0.045410,-0.012741,-0.000476,10.008055,0.135547,-0.013521,-0.010323,-0.004959,727,727,9.950478,0.521066,98.760742,461.409302,2282.500000,17.977127,67.136940,0.120102,0.000063,-0.000011,0,0,0,0,0,1,0,1,1.063000,1.294000,0.217000
