Timestamp , Uptime, BUC1 Power State, BUC1 Power Level, BUC1 10Mhz ,BUC2 Power State, BUC2 Power Level, BUC2 10Mhz, Antenna AGC, Antenna MuteState, Antenna Tracking, Satellite Freq, Antenna Baseball, EXTRA
2459306.774783479,  20 days,  1,  2987,  0,  1,  2955,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.775483714,  20 days,  1,  2987,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.776184014,  20 days,  1,  2987,  0,  1,  2952,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.776884474,  20 days,  1,  2990,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.777584065,  20 days,  1,  2990,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.778284306,  20 days,  1,  2987,  0,  1,  2965,  0, 728, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.778984484,  20 days,  1,  2995,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.779684240,  20 days,  1,  2995,  0,  1,  2952,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.780384943,  20 days,  1,  2987,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.781085010,  20 days,  1,  2995,  0,  1,  2958,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.781785326,  20 days,  1,  2987,  0,  1,  2958,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.782485030,  20 days,  1,  2987,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.783185400,  20 days,  1,  2990,  0,  1,  2952,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.783886006,  20 days,  1,  2987,  0,  1,  2955,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.784586295,  20 days,  1,  2987,  0,  1,  2958,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.785286216,  20 days,  1,  2987,  0,  1,  2955,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.785986803,  20 days,  1,  2987,  0,  1,  2955,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.786687279,  20 days,  1,  2990,  0,  1,  2965,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.787387337,  20 days,  1,  2995,  0,  1,  2962,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.788087526,  20 days,  1,  2995,  0,  1,  2962,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.788787367,  20 days,  1,  2987,  0,  1,  2955,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.789487441,  20 days,  1,  2987,  0,  1,  2962,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.790187958,  20 days,  1,  2987,  0,  1,  2955,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.790888015,  20 days,  1,  2987,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.791588163,  20 days,  1,  2987,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.792288662,  20 days,  1,  2990,  0,  1,  2955,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.792988567,  20 days,  1,  2987,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.793688868,  20 days,  1,  2987,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.794388637,  20 days,  1,  2990,  0,  1,  2955,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.795088847,  20 days,  1,  2995,  0,  1,  2952,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.795789510,  20 days,  1,  2998,  0,  1,  2962,  0, 730, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
2459306.796489760,  20 days,  1,  2995,  0,  1,  2955,  0, 729, BLOCK, OFF, 2283.000, BB1/R LOAD  ON , BB2/L LOAD  ON
