Timestamp ,BUC1 Power State,BUC1 Power Level,BUC1 10Mhz ,BUC2 Power State,BUC2 Power Level,BUC2 10Mhz,Antenna AGC,Antenna MuteState,Antenna Baseball
1616791065,1,1559,0,1,1660,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791095,1,1564,0,1,1660,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791126,1,1569,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791156,1,1569,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791187,1,1567,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791217,1,1572,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791248,1,1563,0,1,1665,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791278,1,1569,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791308,1,1572,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791339,1,1566,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791369,1,1566,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791400,1,1563,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791430,1,1567,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791461,1,1567,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791491,1,1561,0,1,1665,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791522,1,1565,0,1,1665,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791552,1,1573,0,1,1665,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791583,1,1576,0,1,1660,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791613,1,1575,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791644,1,1570,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791674,1,1570,0,1,1672,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791705,1,1570,0,1,1668,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791735,1,1573,0,1,1667,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791766,1,1567,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791796,1,1573,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791827,1,1573,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791857,1,1569,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791887,1,1569,0,1,1668,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791918,1,1563,0,1,1664,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791949,1,1573,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616791979,1,1567,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792010,1,1567,0,1,1667,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792040,1,1570,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792071,1,1573,0,1,1658,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792101,1,1569,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792131,1,1577,0,1,1667,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792162,1,1580,0,1,1672,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792192,1,1575,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792223,1,1566,0,1,1668,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792253,1,1569,0,1,1667,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792284,1,1565,0,1,1658,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792314,1,1566,0,1,1668,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792345,1,1570,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792375,1,1566,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792406,1,1570,0,1,1667,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792436,1,1570,0,1,1664,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792467,1,1569,0,1,1664,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792497,1,1575,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792528,1,1570,0,1,1661,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792558,1,1576,0,1,1667,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792589,1,1575,0,1,1662,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792620,1,1570,0,1,1668,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792650,1,1570,0,1,1658,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792680,1,1570,0,1,1673,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792711,1,1575,0,1,1670,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792741,1,1569,0,1,1673,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792772,1,1570,0,1,1673,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792802,1,1575,0,1,1673,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792833,1,1566,0,1,1674,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792863,1,1570,0,1,1674,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792894,1,1575,0,1,1668,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792924,1,1575,0,1,1665,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792955,1,1566,0,1,1665,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616792985,1,1566,0,1,1671,0,69,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793015,1,1580,0,1,1665,0,69,BLOCK,BB1/R LOAD  ON ,BB2/L LOAD  ON
